word,bannedWords
AGUA,"['líquido', 'beber', 'sed', 'H2O']"
FUEGO,"['llama', 'calor', 'quemar', 'incendio']"
TIERRA,"['suelo', 'planeta', 'polvo', 'mundo']"
AIRE,"['viento', 'oxígeno', 'respirar', 'atmósfera']"
SOL,"['estrella', 'luz', 'día', 'calor']"
LUNA,"['satélite', 'noche', 'cráter', 'oscuro']"
MAR,"['océano', 'agua', 'olas', 'sal']"
RÍO,"['corriente', 'agua', 'flujo', 'puente']"
MONTAÑA,"['pico', 'altura', 'roca', 'subir']"
BOSQUE,"['árboles', 'verde', 'naturaleza', 'selva']"
ÁRBOL,"['tronco', 'hojas', 'rama', 'raíz']"
FLOR,"['pétalos', 'olor', 'color', 'planta']"
PERRO,"['animal', 'ladrar', 'mascota', 'cola']"
GATO,"['felino', 'maullar', 'mascota', 'bigotes']"
CABALLO,"['galopar', 'animal', 'crin', 'montar']"
VACA,"['leche', 'granja', 'animal', 'pastar']"
OVEJA,"['lana', 'rebaño', 'animal', 'pastor']"
CERDO,"['granja', 'rosado', 'animal', 'jamón']"
GALLINA,"['huevo', 'plumas', 'ave', 'granja']"
PEZ,"['nadar', 'agua', 'escamas', 'mar']"
COCHE,"['vehículo', 'motor', 'ruedas', 'conducir']"
MOTO,"['ruedas', 'casco', 'motor', 'velocidad']"
BICICLETA,"['pedales', 'cadena', 'ruedas', 'montar']"
AVIÓN,"['volar', 'alas', 'cielo', 'aeropuerto']"
BARCO,"['navegar', 'agua', 'puerto', 'mar']"
TREN,"['vía', 'estación', 'vagón', 'rail']"
CASA,"['hogar', 'techo', 'vivir', 'pared']"
EDIFICIO,"['pisos', 'estructura', 'altura', 'oficina']"
PUERTA,"['abrir', 'cerrar', 'entrada', 'madera']"
VENTANA,"['vidrio', 'luz', 'marco', 'abrir']"
MESA,"['mueble', 'comer', 'superficie', 'patas']"
SILLA,"['sentarse', 'respaldo', 'mueble', 'patas']"
CAMA,"['dormir', 'colchón', 'descanso', 'sábanas']"
SOFÁ,"['cojines', 'salón', 'comodidad', 'sentarse']"
TELEVISIÓN,"['pantalla', 'canales', 'ver', 'control']"
ORDENADOR,"['pantalla', 'teclado', 'ratón', 'cpu']"
TELÉFONO,"['llamar', 'móvil', 'pantalla', 'número']"
RELOJ,"['hora', 'tiempo', 'segundos', 'muñeca']"
LIBRO,"['leer', 'páginas', 'texto', 'historia']"
LÁPIZ,"['mina', 'escribir', 'papel', 'dibujo']"
PAPEL,"['hoja', 'blanco', 'escribir', 'doblar']"
BOLÍGRAFO,"['tinta', 'punta', 'escribir', 'papel']"
CUADERNO,"['hojas', 'espiral', 'clase', 'escribir']"
MOCHILA,"['espalda', 'cargar', 'bolsillos', 'llevar']"
ZAPATO,"['pie', 'suela', 'calzado', 'caminar']"
CAMISA,"['ropa', 'manga', 'botones', 'vestir']"
PANTALÓN,"['piernas', 'ropa', 'cintura', 'vestir']"
ABRIGO,"['frío', 'invierno', 'ropa', 'calor']"
SOMBRERO,"['cabeza', 'sol', 'proteger', 'ropa']"
COMIDA,"['alimento', 'plato', 'nutrir', 'comer']"
PAN,"['harina', 'masa', 'horno', 'comer']"
QUESO,"['lácteo', 'leche', 'fermentar', 'comer']"
CARNE,"['animal', 'proteína', 'cocinar', 'comer']"
PESCADO,"['mar', 'escamas', 'cocinar', 'comer']"
FRUTA,"['dulce', 'vitamina', 'árbol', 'comer']"
VERDURA,"['vegetal', 'planta', 'salud', 'comer']"
MANZANA,"['fruta', 'roja', 'árbol', 'comer']"
PLÁTANO,"['fruta', 'amarillo', 'dulce', 'comer']"
NARANJA,"['cítrico', 'fruta', 'zumo', 'comer']"
CAFÉ,"['bebida', 'cafeína', 'taza', 'despertar']"
TÉ,"['infusión', 'bebida', 'hojas', 'caliente']"
LECHE,"['blanco', 'vaca', 'lácteo', 'beber']"
AZÚCAR,"['dulce', 'endulzar', 'blanco', 'comer']"
SAL,"['condimento', 'sabor', 'blanco', 'comida']"
HUEVO,"['cáscara', 'gallina', 'proteína', 'comer']"
ARROZ,"['grano', 'blanco', 'cocinar', 'comer']"
PASTA,"['fideos', 'italia', 'cocinar', 'comer']"
SOPA,"['caliente', 'cuchara', 'líquido', 'comer']"
ENSALADA,"['vegetal', 'frío', 'plato', 'comer']"
PIZZA,"['masa', 'queso', 'horno', 'italia']"
HAMBURGUESA,"['carne', 'pan', 'rápida', 'comer']"
HELADO,"['frío', 'dulce', 'postre', 'verano']"
CHOCOLATE,"['cacao', 'dulce', 'marrón', 'postre']"
GALLETAS,"['dulce', 'crujiente', 'horno', 'comer']"
TARTA,"['pastel', 'postre', 'dulce', 'cumpleaños']"
CERVEZA,"['alcohol', 'espuma', 'bebida', 'bar']"
VINO,"['uva', 'alcohol', 'bebida', 'botella']"
ZUMO,"['fruta', 'exprimir', 'bebida', 'vaso']"
BOTELLA,"['envase', 'líquido', 'plástico', 'beber']"
VASO,"['vidrio', 'beber', 'recipiente', 'líquido']"
PLATO,"['vajilla', 'comer', 'mesa', 'comida']"
TENEDOR,"['cubierto', 'pinchar', 'mesa', 'comer']"
CUCHARA,"['cubierto', 'sopa', 'mesa', 'comer']"
CUCHILLO,"['cortar', 'filo', 'metal', 'cocina']"
COCINA,"['preparar', 'comer', 'fuego', 'casa']"
BAÑO,"['ducha', 'aseo', 'agua', 'limpieza']"
DORMITORIO,"['cama', 'dormir', 'descanso', 'habitación']"
SALÓN,"['sofá', 'televisión', 'estar', 'casa']"
JARDÍN,"['plantas', 'flores', 'verde', 'casa']"
PISCINA,"['agua', 'nadar', 'verano', 'bañarse']"
PARQUE,"['árboles', 'verde', 'jugar', 'aire']"
CIUDAD,"['urbano', 'calles', 'gente', 'edificios']"
PUEBLO,"['rural', 'casas', 'pequeño', 'gente']"
CALLE,"['asfalto', 'coches', 'caminar', 'ciudad']"
CARRETERA,"['asfalto', 'coches', 'viajar', 'ruta']"
PUENTE,"['río', 'cruzar', 'estructura', 'altura']"
PLAYA,"['arena', 'mar', 'sol', 'vacaciones']"
ISLA,"['mar', 'tierra', 'rodeada', 'océano']"
DESIERTO,"['arena', 'calor', 'seco', 'dunas']"
SELVA,"['árboles', 'húmedo', 'verde', 'jungla']"
CIELO,"['azul', 'nubes', 'arriba', 'aire']"
NUBE,"['cielo', 'blanco', 'lluvia', 'vapor']"
LLUVIA,"['agua', 'caer', 'nubes', 'mojar']"
NIEVE,"['frío', 'blanco', 'caer', 'invierno']"
VIENTO,"['aire', 'soplar', 'ráfaga', 'mover']"
TRUENO,"['tormenta', 'sonido', 'rayo', 'cielo']"
